age,job,marital,education,default,balance,housing,loan,contact,month,duration,campaign,pdays,previous,poutcome,deposit
age_25_or_above,job_admin.,marital_married,education_secondary,default_no,55,housing_yes,loan_no,contact_unknown,month_may,1120,2,-1,0,poutcome_unknown,1
age_25_or_above,job_admin.,marital_divorced,education_secondary,default_no,168,housing_yes,loan_yes,contact_unknown,month_may,513,1,-1,0,poutcome_unknown,1
age_25_or_above,job_admin.,marital_divorced,education_secondary,default_no,785,housing_yes,loan_no,contact_unknown,month_may,442,2,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_single,education_tertiary,default_no,2067,housing_yes,loan_no,contact_unknown,month_may,756,1,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_divorced,education_tertiary,default_no,388,housing_yes,loan_no,contact_unknown,month_may,2087,2,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_primary,default_no,-192,housing_yes,loan_no,contact_unknown,month_may,1120,2,-1,0,poutcome_unknown,1
age_25_or_above,job_unemployed,marital_single,education_secondary,default_no,381,housing_yes,loan_no,contact_unknown,month_may,985,2,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_single,education_secondary,default_no,40,housing_yes,loan_no,contact_unknown,month_may,617,4,-1,0,poutcome_unknown,1
age_25_or_above,job_technician,marital_single,education_tertiary,default_no,22,housing_yes,loan_no,contact_unknown,month_may,483,3,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_single,education_secondary,default_no,3,housing_yes,loan_no,contact_unknown,month_may,929,3,-1,0,poutcome_unknown,1
age_25_or_above,job_admin.,marital_married,education_secondary,default_no,307,housing_yes,loan_no,contact_unknown,month_may,538,1,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_single,education_secondary,default_no,759,housing_yes,loan_no,contact_unknown,month_may,710,1,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_secondary,default_yes,-1,housing_yes,loan_no,contact_unknown,month_may,653,1,-1,0,poutcome_unknown,1
age_25_or_above,job_technician,marital_married,education_primary,default_no,65,housing_yes,loan_no,contact_unknown,month_may,1028,2,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_single,education_secondary,default_no,82,housing_yes,loan_no,contact_unknown,month_may,654,1,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_secondary,default_no,10,housing_yes,loan_no,contact_unknown,month_may,1692,2,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_divorced,education_primary,default_no,390,housing_yes,loan_no,contact_unknown,month_may,665,2,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_single,education_tertiary,default_no,311,housing_no,loan_no,contact_unknown,month_may,757,2,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_primary,default_no,414,housing_no,loan_no,contact_unknown,month_may,504,4,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_divorced,education_secondary,default_no,5,housing_yes,loan_no,contact_unknown,month_may,1346,1,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_married,education_tertiary,default_no,119,housing_yes,loan_no,contact_unknown,month_may,568,4,-1,0,poutcome_unknown,1
age_below_25,job_entrepreneur,marital_single,education_primary,default_no,4,housing_yes,loan_no,contact_unknown,month_may,395,2,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_primary,default_no,1262,housing_yes,loan_yes,contact_unknown,month_may,1015,1,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_married,education_tertiary,default_no,1949,housing_yes,loan_no,contact_unknown,month_may,683,2,-1,0,poutcome_unknown,1
age_25_or_above,job_entrepreneur,marital_divorced,education_tertiary,default_no,-395,housing_yes,loan_no,contact_unknown,month_may,470,1,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_secondary,default_no,1165,housing_yes,loan_no,contact_unknown,month_may,1001,4,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_married,education_unknown,default_no,2240,housing_yes,loan_no,contact_unknown,month_may,845,1,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_divorced,education_primary,default_no,300,housing_yes,loan_no,contact_unknown,month_may,945,2,-1,0,poutcome_unknown,1
age_25_or_above,job_technician,marital_married,education_secondary,default_no,3285,housing_yes,loan_no,contact_unknown,month_may,1721,2,-1,0,poutcome_unknown,1
age_25_or_above,job_housemaid,marital_married,education_secondary,default_no,3923,housing_yes,loan_no,contact_unknown,month_may,942,3,-1,0,poutcome_unknown,1
age_25_or_above,job_technician,marital_divorced,education_primary,default_no,1443,housing_yes,loan_no,contact_unknown,month_may,476,1,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_divorced,education_primary,default_no,24,housing_yes,loan_no,contact_unknown,month_may,832,1,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_single,education_primary,default_no,1618,housing_yes,loan_no,contact_unknown,month_may,1553,1,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_divorced,education_tertiary,default_no,517,housing_yes,loan_yes,contact_unknown,month_may,1328,1,-1,0,poutcome_unknown,1
age_25_or_above,job_retired,marital_married,education_secondary,default_no,1521,housing_yes,loan_yes,contact_unknown,month_may,1125,2,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_secondary,default_no,2823,housing_yes,loan_no,contact_unknown,month_may,858,1,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_secondary,default_no,1405,housing_yes,loan_no,contact_unknown,month_may,629,2,-1,0,poutcome_unknown,1
age_25_or_above,job_admin.,marital_married,education_secondary,default_no,1535,housing_yes,loan_no,contact_unknown,month_may,704,1,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_secondary,default_no,1596,housing_yes,loan_no,contact_unknown,month_may,760,1,-1,0,poutcome_unknown,1
age_25_or_above,job_retired,marital_married,education_primary,default_no,1542,housing_yes,loan_no,contact_unknown,month_may,930,1,-1,0,poutcome_unknown,1
age_25_or_above,job_technician,marital_single,education_unknown,default_no,3652,housing_yes,loan_no,contact_unknown,month_may,1028,2,-1,0,poutcome_unknown,1
age_25_or_above,job_technician,marital_married,education_tertiary,default_no,-1,housing_no,loan_no,contact_unknown,month_may,850,2,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_secondary,default_no,7180,housing_yes,loan_no,contact_unknown,month_may,927,1,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_divorced,education_secondary,default_no,5291,housing_yes,loan_no,contact_unknown,month_may,1423,3,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_secondary,default_no,1384,housing_yes,loan_no,contact_unknown,month_may,1162,4,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_divorced,education_primary,default_no,-191,housing_yes,loan_no,contact_unknown,month_may,755,1,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_primary,default_no,320,housing_yes,loan_no,contact_unknown,month_may,695,1,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_unknown,default_no,146,housing_yes,loan_no,contact_unknown,month_may,483,1,-1,0,poutcome_unknown,1
age_25_or_above,job_unknown,marital_married,education_primary,default_no,341,housing_yes,loan_yes,contact_unknown,month_may,520,2,-1,0,poutcome_unknown,1
age_25_or_above,job_services,marital_married,education_primary,default_no,-9,housing_yes,loan_no,contact_unknown,month_may,920,2,-1,0,poutcome_unknown,1
age_25_or_above,job_admin.,marital_married,education_primary,default_no,-306,housing_yes,loan_no,contact_unknown,month_may,500,1,-1,0,poutcome_unknown,1
age_25_or_above,job_technician,marital_married,education_tertiary,default_no,4580,housing_yes,loan_no,contact_unknown,month_may,911,2,-1,0,poutcome_unknown,1
age_25_or_above,job_services,marital_single,education_primary,default_no,313,housing_yes,loan_no,contact_unknown,month_may,920,2,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_married,education_tertiary,default_no,10576,housing_no,loan_no,contact_unknown,month_may,1224,2,-1,0,poutcome_unknown,1
age_25_or_above,job_retired,marital_divorced,education_primary,default_no,-233,housing_yes,loan_no,contact_unknown,month_may,1156,2,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_primary,default_no,2453,housing_yes,loan_no,contact_unknown,month_may,1052,1,-1,0,poutcome_unknown,1
age_25_or_above,job_technician,marital_single,education_secondary,default_no,1364,housing_yes,loan_no,contact_unknown,month_may,1867,6,-1,0,poutcome_unknown,1
age_25_or_above,job_services,marital_single,education_unknown,default_no,281,housing_yes,loan_no,contact_unknown,month_may,515,1,-1,0,poutcome_unknown,1
age_25_or_above,job_technician,marital_married,education_tertiary,default_no,94,housing_yes,loan_yes,contact_unknown,month_may,813,1,-1,0,poutcome_unknown,1
age_25_or_above,job_self-employed,marital_single,education_tertiary,default_no,144,housing_yes,loan_no,contact_unknown,month_may,676,1,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_secondary,default_no,246,housing_yes,loan_no,contact_unknown,month_may,1143,3,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_secondary,default_no,92,housing_yes,loan_no,contact_unknown,month_may,688,1,-1,0,poutcome_unknown,1
age_25_or_above,job_admin.,marital_single,education_secondary,default_no,163,housing_yes,loan_yes,contact_unknown,month_may,803,1,-1,0,poutcome_unknown,1
age_25_or_above,job_services,marital_divorced,education_secondary,default_no,49,housing_yes,loan_no,contact_unknown,month_may,619,2,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_single,education_secondary,default_no,-416,housing_yes,loan_no,contact_unknown,month_may,767,2,-1,0,poutcome_unknown,1
age_below_25,job_technician,marital_single,education_secondary,default_no,409,housing_yes,loan_no,contact_unknown,month_may,912,1,-1,0,poutcome_unknown,1
age_25_or_above,job_admin.,marital_divorced,education_secondary,default_no,363,housing_yes,loan_no,contact_unknown,month_may,1340,1,-1,0,poutcome_unknown,1
age_25_or_above,job_technician,marital_single,education_tertiary,default_no,3706,housing_yes,loan_no,contact_unknown,month_may,897,1,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_single,education_tertiary,default_no,4393,housing_yes,loan_no,contact_unknown,month_may,1297,3,-1,0,poutcome_unknown,1
age_25_or_above,job_technician,marital_single,education_secondary,default_no,863,housing_yes,loan_no,contact_unknown,month_may,1193,5,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_primary,default_no,695,housing_yes,loan_yes,contact_unknown,month_may,1064,4,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_single,education_secondary,default_no,792,housing_yes,loan_no,contact_unknown,month_may,1187,4,-1,0,poutcome_unknown,1
age_25_or_above,job_admin.,marital_single,education_secondary,default_no,1020,housing_yes,loan_no,contact_unknown,month_may,882,1,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_secondary,default_no,863,housing_yes,loan_no,contact_unknown,month_may,943,2,-1,0,poutcome_unknown,1
age_25_or_above,job_admin.,marital_married,education_secondary,default_no,97,housing_yes,loan_no,contact_unknown,month_may,607,1,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_secondary,default_no,754,housing_yes,loan_no,contact_unknown,month_may,1022,4,-1,0,poutcome_unknown,1
age_25_or_above,job_services,marital_divorced,education_secondary,default_no,1040,housing_yes,loan_no,contact_unknown,month_may,552,3,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_divorced,education_tertiary,default_no,122,housing_yes,loan_no,contact_unknown,month_may,1622,2,-1,0,poutcome_unknown,1
age_25_or_above,job_technician,marital_single,education_tertiary,default_no,880,housing_yes,loan_yes,contact_unknown,month_may,967,6,-1,0,poutcome_unknown,1
age_25_or_above,job_technician,marital_married,education_secondary,default_no,501,housing_yes,loan_no,contact_unknown,month_may,579,5,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_secondary,default_no,4438,housing_yes,loan_no,contact_unknown,month_may,446,1,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_divorced,education_secondary,default_no,0,housing_yes,loan_no,contact_unknown,month_may,1205,1,-1,0,poutcome_unknown,1
age_25_or_above,job_services,marital_single,education_secondary,default_no,271,housing_yes,loan_no,contact_unknown,month_may,1882,2,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_primary,default_no,102,housing_yes,loan_no,contact_unknown,month_may,1334,1,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_secondary,default_no,2,housing_yes,loan_no,contact_unknown,month_may,182,2,-1,0,poutcome_unknown,1
age_25_or_above,job_services,marital_married,education_secondary,default_no,4170,housing_yes,loan_no,contact_unknown,month_may,1777,1,-1,0,poutcome_unknown,1
age_25_or_above,job_technician,marital_single,education_secondary,default_no,85,housing_yes,loan_no,contact_unknown,month_may,1182,4,-1,0,poutcome_unknown,1
age_25_or_above,job_admin.,marital_single,education_secondary,default_no,431,housing_yes,loan_yes,contact_unknown,month_may,1045,1,-1,0,poutcome_unknown,1
age_25_or_above,job_technician,marital_divorced,education_secondary,default_no,982,housing_yes,loan_no,contact_unknown,month_may,650,3,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_primary,default_no,408,housing_yes,loan_yes,contact_unknown,month_may,1063,2,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_unknown,default_no,4822,housing_yes,loan_no,contact_unknown,month_may,843,2,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_primary,default_no,1250,housing_yes,loan_no,contact_unknown,month_may,1392,2,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_single,education_primary,default_no,216,housing_yes,loan_no,contact_unknown,month_may,565,1,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_secondary,default_no,1207,housing_yes,loan_no,contact_unknown,month_may,905,1,-1,0,poutcome_unknown,1
age_25_or_above,job_technician,marital_married,education_secondary,default_no,791,housing_yes,loan_no,contact_unknown,month_may,783,2,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_married,education_tertiary,default_no,849,housing_yes,loan_yes,contact_unknown,month_may,958,2,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_single,education_secondary,default_yes,239,housing_yes,loan_no,contact_unknown,month_may,412,1,-1,0,poutcome_unknown,1
age_25_or_above,job_technician,marital_single,education_secondary,default_no,1211,housing_yes,loan_no,contact_unknown,month_may,795,1,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_primary,default_no,599,housing_yes,loan_no,contact_unknown,month_may,649,2,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_single,education_tertiary,default_no,825,housing_yes,loan_no,contact_unknown,month_may,506,2,-1,0,poutcome_unknown,1
age_25_or_above,job_technician,marital_married,education_secondary,default_no,2183,housing_yes,loan_yes,contact_unknown,month_may,857,1,-1,0,poutcome_unknown,1
age_25_or_above,job_retired,marital_married,education_primary,default_no,4499,housing_no,loan_no,contact_unknown,month_may,1681,1,-1,0,poutcome_unknown,1
age_25_or_above,job_technician,marital_single,education_tertiary,default_no,1289,housing_yes,loan_no,contact_unknown,month_may,1697,2,-1,0,poutcome_unknown,1
age_25_or_above,job_technician,marital_single,education_tertiary,default_no,4665,housing_yes,loan_no,contact_unknown,month_may,860,2,-1,0,poutcome_unknown,1
age_25_or_above,job_technician,marital_single,education_secondary,default_no,3326,housing_yes,loan_no,contact_unknown,month_may,799,1,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_secondary,default_no,783,housing_yes,loan_no,contact_unknown,month_may,923,3,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_secondary,default_no,0,housing_yes,loan_no,contact_unknown,month_may,521,3,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_primary,default_no,994,housing_yes,loan_no,contact_unknown,month_may,1349,8,-1,0,poutcome_unknown,1
age_25_or_above,job_self-employed,marital_divorced,education_tertiary,default_no,1354,housing_yes,loan_no,contact_unknown,month_may,736,2,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_single,education_secondary,default_no,239,housing_yes,loan_no,contact_unknown,month_may,785,1,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_divorced,education_primary,default_no,-311,housing_yes,loan_no,contact_unknown,month_may,1030,1,-1,0,poutcome_unknown,1
age_25_or_above,job_admin.,marital_married,education_secondary,default_no,149,housing_yes,loan_no,contact_unknown,month_may,893,3,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_secondary,default_no,1464,housing_yes,loan_no,contact_unknown,month_may,588,3,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_divorced,education_tertiary,default_no,5773,housing_no,loan_no,contact_unknown,month_may,597,6,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_primary,default_no,278,housing_yes,loan_no,contact_unknown,month_may,1015,3,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_secondary,default_no,2910,housing_yes,loan_no,contact_unknown,month_may,1392,2,-1,0,poutcome_unknown,1
age_25_or_above,job_technician,marital_married,education_tertiary,default_no,541,housing_yes,loan_no,contact_unknown,month_may,414,2,-1,0,poutcome_unknown,1
age_25_or_above,job_technician,marital_divorced,education_secondary,default_no,1262,housing_yes,loan_no,contact_unknown,month_may,788,11,-1,0,poutcome_unknown,1
age_25_or_above,job_services,marital_married,education_secondary,default_no,-538,housing_yes,loan_no,contact_unknown,month_may,682,1,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_secondary,default_no,125,housing_no,loan_no,contact_unknown,month_may,679,2,-1,0,poutcome_unknown,1
age_25_or_above,job_self-employed,marital_single,education_tertiary,default_no,0,housing_yes,loan_no,contact_unknown,month_may,1560,2,-1,0,poutcome_unknown,1
age_25_or_above,job_admin.,marital_single,education_secondary,default_no,620,housing_yes,loan_no,contact_unknown,month_may,1234,3,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_divorced,education_secondary,default_no,316,housing_yes,loan_no,contact_unknown,month_may,642,2,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_married,education_tertiary,default_no,2287,housing_yes,loan_no,contact_unknown,month_may,895,4,-1,0,poutcome_unknown,1
age_25_or_above,job_admin.,marital_divorced,education_secondary,default_no,198,housing_yes,loan_no,contact_unknown,month_may,431,2,-1,0,poutcome_unknown,1
age_25_or_above,job_admin.,marital_single,education_secondary,default_no,460,housing_yes,loan_no,contact_unknown,month_may,741,6,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_divorced,education_tertiary,default_no,1145,housing_yes,loan_no,contact_unknown,month_may,1272,4,-1,0,poutcome_unknown,1
age_25_or_above,job_services,marital_married,education_secondary,default_no,-22,housing_yes,loan_no,contact_unknown,month_may,748,3,-1,0,poutcome_unknown,1
age_below_25,job_blue-collar,marital_married,education_secondary,default_no,685,housing_yes,loan_no,contact_unknown,month_may,896,3,-1,0,poutcome_unknown,1
age_25_or_above,job_services,marital_single,education_secondary,default_no,901,housing_yes,loan_no,contact_unknown,month_may,764,2,-1,0,poutcome_unknown,1
age_25_or_above,job_retired,marital_single,education_secondary,default_no,351,housing_yes,loan_no,contact_unknown,month_may,1063,5,-1,0,poutcome_unknown,1
age_25_or_above,job_entrepreneur,marital_single,education_primary,default_no,0,housing_yes,loan_yes,contact_unknown,month_may,1051,1,-1,0,poutcome_unknown,1
age_25_or_above,job_admin.,marital_married,education_secondary,default_no,274,housing_yes,loan_no,contact_unknown,month_may,731,3,-1,0,poutcome_unknown,1
age_25_or_above,job_admin.,marital_single,education_secondary,default_no,-213,housing_yes,loan_yes,contact_unknown,month_may,751,1,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_secondary,default_no,97,housing_yes,loan_no,contact_unknown,month_may,709,1,-1,0,poutcome_unknown,1
age_25_or_above,job_services,marital_divorced,education_secondary,default_no,51,housing_yes,loan_yes,contact_unknown,month_may,3094,2,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_married,education_tertiary,default_no,314,housing_no,loan_no,contact_unknown,month_may,938,2,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_single,education_tertiary,default_no,6840,housing_yes,loan_no,contact_unknown,month_may,1560,2,-1,0,poutcome_unknown,1
age_25_or_above,job_technician,marital_single,education_secondary,default_no,668,housing_yes,loan_no,contact_unknown,month_may,576,3,-1,0,poutcome_unknown,1
age_25_or_above,job_services,marital_single,education_secondary,default_no,54,housing_yes,loan_no,contact_unknown,month_may,543,2,-1,0,poutcome_unknown,1
age_25_or_above,job_self-employed,marital_single,education_secondary,default_no,1242,housing_yes,loan_no,contact_unknown,month_may,615,2,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_married,education_secondary,default_no,292,housing_yes,loan_no,contact_unknown,month_may,507,1,-1,0,poutcome_unknown,1
age_below_25,job_services,marital_single,education_secondary,default_no,665,housing_yes,loan_no,contact_unknown,month_may,1183,1,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_single,education_tertiary,default_no,1058,housing_yes,loan_no,contact_unknown,month_may,864,2,-1,0,poutcome_unknown,1
age_25_or_above,job_student,marital_single,education_secondary,default_no,949,housing_yes,loan_no,contact_unknown,month_may,1730,1,-1,0,poutcome_unknown,1
age_25_or_above,job_entrepreneur,marital_married,education_unknown,default_no,606,housing_yes,loan_no,contact_unknown,month_may,560,9,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_secondary,default_no,0,housing_yes,loan_yes,contact_unknown,month_may,543,1,-1,0,poutcome_unknown,1
age_25_or_above,job_admin.,marital_married,education_secondary,default_no,404,housing_yes,loan_no,contact_unknown,month_may,539,1,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_secondary,default_no,249,housing_yes,loan_no,contact_unknown,month_may,791,2,-1,0,poutcome_unknown,1
age_25_or_above,job_unemployed,marital_divorced,education_secondary,default_no,3354,housing_yes,loan_no,contact_unknown,month_may,746,1,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_divorced,education_secondary,default_no,0,housing_yes,loan_no,contact_unknown,month_may,1207,1,-1,0,poutcome_unknown,1
age_25_or_above,job_technician,marital_married,education_secondary,default_no,589,housing_yes,loan_no,contact_unknown,month_may,535,2,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_single,education_tertiary,default_no,12956,housing_yes,loan_no,contact_unknown,month_may,789,3,-1,0,poutcome_unknown,1
age_25_or_above,job_admin.,marital_married,education_secondary,default_no,873,housing_yes,loan_no,contact_unknown,month_may,792,3,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_divorced,education_primary,default_no,594,housing_yes,loan_no,contact_unknown,month_may,833,2,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_single,education_secondary,default_no,-20,housing_yes,loan_no,contact_unknown,month_may,814,2,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_divorced,education_tertiary,default_no,4692,housing_yes,loan_no,contact_unknown,month_may,1363,2,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_married,education_secondary,default_no,486,housing_yes,loan_no,contact_unknown,month_may,1109,3,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_single,education_primary,default_no,1593,housing_yes,loan_no,contact_unknown,month_may,828,3,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_single,education_tertiary,default_no,7606,housing_yes,loan_no,contact_unknown,month_may,917,1,-1,0,poutcome_unknown,1
age_25_or_above,job_technician,marital_married,education_secondary,default_no,226,housing_yes,loan_no,contact_unknown,month_may,762,3,-1,0,poutcome_unknown,1
age_25_or_above,job_blue-collar,marital_single,education_secondary,default_no,366,housing_yes,loan_yes,contact_unknown,month_may,1133,2,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_divorced,education_secondary,default_no,16,housing_yes,loan_no,contact_unknown,month_may,638,1,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_single,education_tertiary,default_no,565,housing_yes,loan_no,contact_unknown,month_may,763,1,-1,0,poutcome_unknown,1
age_25_or_above,job_admin.,marital_divorced,education_secondary,default_no,19,housing_yes,loan_no,contact_unknown,month_may,604,2,-1,0,poutcome_unknown,1
age_25_or_above,job_services,marital_married,education_primary,default_no,1082,housing_yes,loan_no,contact_unknown,month_may,854,2,-1,0,poutcome_unknown,1
age_25_or_above,job_unemployed,marital_divorced,education_secondary,default_no,1713,housing_yes,loan_no,contact_unknown,month_may,855,2,-1,0,poutcome_unknown,1
age_25_or_above,job_management,marital_divorced,education_tertiary,default_no,14481,housing_yes,loan_no,contact_unknown,month_may,1269,1,-1,0,poutcome_unknown,1
age_25_or_above,job_technician,marital_divorced,education_secondary,default_no,5724,housing_yes,loan_no,contact_unknown,month_may,691,10,-1,0,poutcome_unknown,1
