checkingstatus,duration,history,purpose,amount,savings,employ,installment,status,others,residence,property,age,otherplans,housing,cards,job,liable,telephone,foreign,outcome
... < 0 DM,47,existing credits paid back duly till now,car (new),10722,... < 100 DM,... < 1 year,1,female : divorced/separated/married,others - none,1,real estate,> 25 years,none,own,1,unskilled - resident,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,7,critical account/ other credits existing (not at this bank),radio/television,730,unknown/ no savings account,.. >= 7 years,4,male : single,others - none,2,building society savings agreement/ life insurance,> 25 years,none,rent,2,unskilled - resident,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,12,existing credits paid back duly till now,radio/television,2073,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,co-applicant,2,real estate,> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1
... < 0 DM,21,critical account/ other credits existing (not at this bank),car (new),571,... < 100 DM,.. >= 7 years,4,male : single,others - none,4,real estate,> 25 years,none,own,2,skilled employee / official,1,phone - none,foreign - yes,1
... >= 200 DM / salary assignments for at least 1 year,15,critical account/ other credits existing (not at this bank),car (used),2360,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : single,others - none,2,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
... < 0 DM,12,delay in paying off in the past,car (new),1344,... < 100 DM,1 <= ... < 4 years,4,male : single,others - none,2,real estate,> 25 years,none,own,2,unskilled - resident,2,phone - none,foreign - yes,1
... < 0 DM,42,existing credits paid back duly till now,radio/television,7174,unknown/ no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,others - none,3,"car or other, not in attribute 6",> 25 years,none,own,1,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,2
... >= 200 DM / salary assignments for at least 1 year,42,critical account/ other credits existing (not at this bank),car (used),4796,... < 100 DM,.. >= 7 years,4,male : single,others - none,4,unknown / no property,> 25 years,none,for free,1,skilled employee / official,1,phone - none,foreign - yes,1
... < 0 DM,42,existing credits paid back duly till now,radio/television,3965,... < 100 DM,... < 1 year,4,male : single,others - none,3,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,2
no checking account,11,critical account/ other credits existing (not at this bank),car (new),7228,... < 100 DM,1 <= ... < 4 years,1,male : single,others - none,4,building society savings agreement/ life insurance,> 25 years,none,own,2,unskilled - resident,1,phone - none,foreign - yes,1
0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),radio/television,1216,100 <= ... < 500 DM,... < 1 year,4,male : single,others - none,4,unknown / no property,> 25 years,bank,own,2,skilled employee / official,2,phone - none,foreign - yes,2
no checking account,12,critical account/ other credits existing (not at this bank),education,2748,... < 100 DM,.. >= 7 years,2,female : divorced/separated/married,others - none,4,unknown / no property,> 25 years,bank,for free,3,unskilled - resident,1,phone - none,foreign - yes,1
0 <= ... < 200 DM,42,all credits at this bank paid back duly,car (used),9283,... < 100 DM,unemployed,1,male : single,others - none,2,unknown / no property,> 25 years,bank,for free,1,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,27,critical account/ other credits existing (not at this bank),furniture/equipment,4526,.. >= 1000 DM,... < 1 year,4,male : single,others - none,2,real estate,> 25 years,stores,own,2,unskilled - resident,2,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,21,existing credits paid back duly till now,car (used),5248,unknown/ no savings account,1 <= ... < 4 years,1,male : single,others - none,3,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1
no checking account,24,existing credits paid back duly till now,radio/television,3181,... < 100 DM,... < 1 year,4,female : divorced/separated/married,others - none,4,building society savings agreement/ life insurance,> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,24,delay in paying off in the past,car (new),717,unknown/ no savings account,.. >= 7 years,4,male : married/widowed,others - none,4,"car or other, not in attribute 6",> 25 years,none,own,2,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,12,existing credits paid back duly till now,radio/television,1262,... < 100 DM,1 <= ... < 4 years,3,male : single,others - none,2,"car or other, not in attribute 6",<= 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1
no checking account,12,existing credits paid back duly till now,car (new),1884,... < 100 DM,.. >= 7 years,4,male : single,others - none,4,"car or other, not in attribute 6",> 25 years,none,own,1,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,1
0 <= ... < 200 DM,18,existing credits paid back duly till now,furniture/equipment,1924,unknown/ no savings account,... < 1 year,4,female : divorced/separated/married,others - none,3,real estate,> 25 years,none,rent,1,skilled employee / official,1,phone - none,foreign - yes,2
... < 0 DM,48,existing credits paid back duly till now,education,7476,... < 100 DM,4 <= ... < 7 years,4,male : single,others - none,1,unknown / no property,> 25 years,none,for free,1,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,1
... >= 200 DM / salary assignments for at least 1 year,12,critical account/ other credits existing (not at this bank),car (new),939,500 <= ... < 1000 DM,4 <= ... < 7 years,4,male : married/widowed,others - none,2,real estate,> 25 years,none,own,3,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,2
0 <= ... < 200 DM,12,existing credits paid back duly till now,business,841,100 <= ... < 500 DM,4 <= ... < 7 years,2,female : divorced/separated/married,others - none,4,real estate,<= 25 years,none,rent,1,unskilled - resident,1,phone - none,foreign - yes,1
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (used),4113,500 <= ... < 1000 DM,... < 1 year,3,female : divorced/separated/married,others - none,4,"car or other, not in attribute 6",> 25 years,none,rent,1,skilled employee / official,1,phone - none,foreign - yes,2
... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,radio/television,5152,... < 100 DM,4 <= ... < 7 years,4,male : single,others - none,2,"car or other, not in attribute 6",<= 25 years,bank,own,1,skilled employee / official,1,phone - none,foreign - yes,1
... < 0 DM,33,critical account/ other credits existing (not at this bank),furniture/equipment,4281,500 <= ... < 1000 DM,1 <= ... < 4 years,1,female : divorced/separated/married,others - none,4,"car or other, not in attribute 6",<= 25 years,none,own,2,skilled employee / official,1,phone - none,foreign - yes,2
0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1567,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,others - none,1,"car or other, not in attribute 6",<= 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
... < 0 DM,12,all credits at this bank paid back duly,retraining,339,... < 100 DM,.. >= 7 years,4,male : married/widowed,others - none,1,"car or other, not in attribute 6",> 25 years,bank,own,1,unskilled - resident,1,phone - none,foreign - yes,1
... < 0 DM,15,existing credits paid back duly till now,domestic appliances,1275,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,others - none,2,"car or other, not in attribute 6",<= 25 years,none,rent,1,skilled employee / official,1,phone - none,foreign - yes,2
0 <= ... < 200 DM,12,existing credits paid back duly till now,repairs,639,... < 100 DM,1 <= ... < 4 years,4,male : single,others - none,2,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,2
no checking account,36,existing credits paid back duly till now,radio/television,2299,500 <= ... < 1000 DM,.. >= 7 years,4,male : single,others - none,4,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1
... < 0 DM,24,existing credits paid back duly till now,radio/television,1823,... < 100 DM,unemployed,4,male : single,others - none,2,"car or other, not in attribute 6",> 25 years,stores,own,1,management/ self-employed/highly qualified employee/ officer,2,phone - none,foreign - yes,2
... < 0 DM,48,existing credits paid back duly till now,car (new),7763,... < 100 DM,.. >= 7 years,4,male : single,others - none,4,unknown / no property,> 25 years,bank,for free,1,management/ self-employed/highly qualified employee/ officer,1,phone - none,foreign - yes,2
no checking account,6,existing credits paid back duly till now,radio/television,1595,... < 100 DM,4 <= ... < 7 years,3,male : single,others - none,2,building society savings agreement/ life insurance,> 25 years,none,own,1,skilled employee / official,2,phone - none,foreign - yes,1
... < 0 DM,12,critical account/ other credits existing (not at this bank),radio/television,385,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,others - none,3,real estate,> 25 years,none,own,4,unskilled - resident,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,12,existing credits paid back duly till now,radio/television,776,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,others - none,2,real estate,> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1
0 <= ... < 200 DM,24,existing credits paid back duly till now,furniture/equipment,3069,100 <= ... < 500 DM,.. >= 7 years,4,male : single,others - none,4,unknown / no property,> 25 years,none,for free,1,skilled employee / official,1,phone - none,foreign - yes,1
... < 0 DM,9,existing credits paid back duly till now,radio/television,1364,... < 100 DM,4 <= ... < 7 years,3,male : single,others - none,4,real estate,> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1
no checking account,6,critical account/ other credits existing (not at this bank),furniture/equipment,1221,unknown/ no savings account,1 <= ... < 4 years,1,male : married/widowed,others - none,2,building society savings agreement/ life insurance,> 25 years,none,own,2,skilled employee / official,1,phone - none,foreign - yes,1
... < 0 DM,8,critical account/ other credits existing (not at this bank),car (new),3398,... < 100 DM,4 <= ... < 7 years,1,male : single,others - none,4,real estate,> 25 years,none,own,2,unskilled - resident,1,phone - none,foreign - no,1
... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,4153,... < 100 DM,1 <= ... < 4 years,2,male : single,co-applicant,3,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,2
0 <= ... < 200 DM,15,no credits taken/ all credits paid back duly,car (new),1778,... < 100 DM,... < 1 year,2,female : divorced/separated/married,others - none,1,real estate,> 25 years,none,rent,2,unemployed/ unskilled - non-resident,1,phone - none,foreign - yes,2
no checking account,9,existing credits paid back duly till now,domestic appliances,1236,... < 100 DM,... < 1 year,1,female : divorced/separated/married,others - none,4,real estate,<= 25 years,none,rent,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,6,existing credits paid back duly till now,furniture/equipment,1766,... < 100 DM,1 <= ... < 4 years,1,male : married/widowed,others - none,2,building society savings agreement/ life insurance,<= 25 years,none,rent,1,skilled employee / official,1,phone - none,foreign - yes,1
... < 0 DM,30,no credits taken/ all credits paid back duly,business,8072,unknown/ no savings account,... < 1 year,2,male : single,others - none,3,"car or other, not in attribute 6",<= 25 years,bank,own,3,skilled employee / official,1,phone - none,foreign - yes,1
0 <= ... < 200 DM,9,all credits at this bank paid back duly,car (used),5129,... < 100 DM,.. >= 7 years,2,female : divorced/separated/married,others - none,4,unknown / no property,> 25 years,bank,for free,1,management/ self-employed/highly qualified employee/ officer,2,"phone - yes, registered under the customers name",foreign - yes,2
no checking account,24,delay in paying off in the past,business,8648,... < 100 DM,... < 1 year,2,male : single,others - none,2,"car or other, not in attribute 6",> 25 years,bank,own,2,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,2
... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,4169,... < 100 DM,1 <= ... < 4 years,4,male : single,others - none,4,building society savings agreement/ life insurance,> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1
no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,1935,... < 100 DM,.. >= 7 years,4,male : single,others - none,4,real estate,> 25 years,none,own,3,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,24,existing credits paid back duly till now,radio/television,2397,500 <= ... < 1000 DM,.. >= 7 years,3,male : single,others - none,2,"car or other, not in attribute 6",> 25 years,bank,own,2,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,2
no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1459,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,others - none,2,"car or other, not in attribute 6",> 25 years,none,own,1,unskilled - resident,1,phone - none,foreign - yes,1
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),685,... < 100 DM,4 <= ... < 7 years,2,male : married/widowed,others - none,3,"car or other, not in attribute 6",<= 25 years,bank,own,1,unskilled - resident,1,phone - none,foreign - yes,2
... < 0 DM,48,no credits taken/ all credits paid back duly,car (used),4605,... < 100 DM,.. >= 7 years,3,male : single,others - none,4,unknown / no property,<= 25 years,none,for free,2,skilled employee / official,2,phone - none,foreign - yes,2
no checking account,11,existing credits paid back duly till now,business,2142,.. >= 1000 DM,.. >= 7 years,1,male : divorced/separated,others - none,2,real estate,> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
... < 0 DM,15,no credits taken/ all credits paid back duly,car (new),950,... < 100 DM,.. >= 7 years,4,male : single,others - none,3,"car or other, not in attribute 6",> 25 years,none,rent,2,skilled employee / official,2,phone - none,foreign - yes,2
0 <= ... < 200 DM,16,critical account/ other credits existing (not at this bank),car (new),1175,... < 100 DM,unemployed,2,male : single,others - none,3,"car or other, not in attribute 6",> 25 years,none,for free,3,unemployed/ unskilled - non-resident,1,"phone - yes, registered under the customers name",foreign - yes,1
... < 0 DM,12,existing credits paid back duly till now,radio/television,1498,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,others - none,1,"car or other, not in attribute 6",<= 25 years,bank,own,1,skilled employee / official,1,phone - none,foreign - yes,1
no checking account,18,existing credits paid back duly till now,furniture/equipment,1984,... < 100 DM,1 <= ... < 4 years,4,male : single,others - none,4,unknown / no property,> 25 years,bank,for free,2,skilled employee / official,1,phone - none,foreign - yes,1
0 <= ... < 200 DM,36,no credits taken/ all credits paid back duly,radio/television,3804,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,others - none,1,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,2
... < 0 DM,24,existing credits paid back duly till now,radio/television,1987,... < 100 DM,1 <= ... < 4 years,2,male : single,others - none,4,real estate,<= 25 years,none,rent,1,unskilled - resident,2,phone - none,foreign - yes,2
no checking account,24,critical account/ other credits existing (not at this bank),business,4139,100 <= ... < 500 DM,1 <= ... < 4 years,3,male : single,others - none,3,building society savings agreement/ life insurance,> 25 years,none,own,2,unskilled - resident,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,12,critical account/ other credits existing (not at this bank),education,701,... < 100 DM,1 <= ... < 4 years,4,male : single,others - none,2,"car or other, not in attribute 6",> 25 years,none,own,2,skilled employee / official,1,phone - none,foreign - yes,1
no checking account,54,no credits taken/ all credits paid back duly,car (used),9436,unknown/ no savings account,1 <= ... < 4 years,2,male : single,others - none,2,building society savings agreement/ life insurance,> 25 years,none,own,1,unskilled - resident,2,phone - none,foreign - yes,1
... < 0 DM,18,existing credits paid back duly till now,radio/television,3190,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,others - none,2,real estate,<= 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,2
0 <= ... < 200 DM,13,critical account/ other credits existing (not at this bank),radio/television,882,... < 100 DM,... < 1 year,4,male : single,guarantor,4,real estate,<= 25 years,none,own,2,skilled employee / official,1,phone - none,foreign - yes,1
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (used),2760,unknown/ no savings account,.. >= 7 years,4,male : single,others - none,4,unknown / no property,> 25 years,bank,for free,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,15,existing credits paid back duly till now,furniture/equipment,2221,500 <= ... < 1000 DM,1 <= ... < 4 years,2,female : divorced/separated/married,others - none,4,"car or other, not in attribute 6",<= 25 years,none,rent,1,skilled employee / official,1,phone - none,foreign - yes,1
... < 0 DM,12,all credits at this bank paid back duly,radio/television,626,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,others - none,4,real estate,<= 25 years,bank,own,1,unskilled - resident,1,phone - none,foreign - yes,2
0 <= ... < 200 DM,48,no credits taken/ all credits paid back duly,purpose - others,18424,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,others - none,2,building society savings agreement/ life insurance,> 25 years,bank,own,1,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - no,2
... < 0 DM,18,existing credits paid back duly till now,domestic appliances,1217,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,others - none,3,real estate,> 25 years,none,own,1,unskilled - resident,1,"phone - yes, registered under the customers name",foreign - yes,2
0 <= ... < 200 DM,7,existing credits paid back duly till now,radio/television,2576,... < 100 DM,1 <= ... < 4 years,2,male : single,guarantor,2,real estate,> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1
... < 0 DM,6,existing credits paid back duly till now,radio/television,2647,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : single,others - none,3,real estate,> 25 years,none,rent,1,skilled employee / official,2,phone - none,foreign - yes,1
no checking account,27,existing credits paid back duly till now,car (new),2570,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,others - none,3,real estate,<= 25 years,none,rent,1,skilled employee / official,1,phone - none,foreign - yes,2
... >= 200 DM / salary assignments for at least 1 year,24,critical account/ other credits existing (not at this bank),radio/television,3148,unknown/ no savings account,1 <= ... < 4 years,3,male : single,others - none,2,"car or other, not in attribute 6",> 25 years,none,own,2,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
... < 0 DM,6,critical account/ other credits existing (not at this bank),car (new),666,.. >= 1000 DM,4 <= ... < 7 years,3,female : divorced/separated/married,others - none,4,real estate,> 25 years,none,own,2,unskilled - resident,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,12,critical account/ other credits existing (not at this bank),business,1185,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,others - none,2,real estate,> 25 years,none,own,2,skilled employee / official,1,phone - none,foreign - yes,1
no checking account,30,critical account/ other credits existing (not at this bank),radio/television,5954,... < 100 DM,4 <= ... < 7 years,3,male : single,co-applicant,2,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1
0 <= ... < 200 DM,45,critical account/ other credits existing (not at this bank),radio/television,4746,... < 100 DM,... < 1 year,4,male : single,others - none,2,building society savings agreement/ life insurance,<= 25 years,none,own,2,unskilled - resident,1,phone - none,foreign - yes,2
no checking account,15,existing credits paid back duly till now,radio/television,1213,500 <= ... < 1000 DM,.. >= 7 years,4,male : single,others - none,3,building society savings agreement/ life insurance,> 25 years,stores,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,6,critical account/ other credits existing (not at this bank),radio/television,1898,unknown/ no savings account,1 <= ... < 4 years,1,male : single,others - none,2,real estate,> 25 years,none,own,2,unskilled - resident,2,phone - none,foreign - yes,1
no checking account,48,critical account/ other credits existing (not at this bank),car (used),11590,100 <= ... < 500 DM,1 <= ... < 4 years,2,female : divorced/separated/married,others - none,4,"car or other, not in attribute 6",<= 25 years,bank,rent,2,unskilled - resident,1,phone - none,foreign - yes,2
no checking account,4,existing credits paid back duly till now,furniture/equipment,601,... < 100 DM,... < 1 year,1,female : divorced/separated/married,others - none,3,real estate,<= 25 years,none,rent,1,unskilled - resident,2,phone - none,foreign - yes,1
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),radio/television,1245,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,others - none,2,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,2
no checking account,36,existing credits paid back duly till now,business,5742,100 <= ... < 500 DM,4 <= ... < 7 years,2,male : single,others - none,2,"car or other, not in attribute 6",> 25 years,none,own,2,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
0 <= ... < 200 DM,14,existing credits paid back duly till now,business,1410,500 <= ... < 1000 DM,.. >= 7 years,1,male : married/widowed,others - none,2,real estate,> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
... < 0 DM,12,existing credits paid back duly till now,car (new),900,unknown/ no savings account,1 <= ... < 4 years,4,male : married/widowed,others - none,2,"car or other, not in attribute 6",<= 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,2
no checking account,6,critical account/ other credits existing (not at this bank),car (new),362,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,others - none,4,"car or other, not in attribute 6",> 25 years,none,own,2,unskilled - resident,1,phone - none,foreign - yes,1
no checking account,15,existing credits paid back duly till now,radio/television,1979,unknown/ no savings account,.. >= 7 years,4,male : single,others - none,2,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1
no checking account,36,existing credits paid back duly till now,furniture/equipment,3349,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,others - none,2,"car or other, not in attribute 6",> 25 years,none,own,1,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,2
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,797,unknown/ no savings account,.. >= 7 years,4,female : divorced/separated/married,others - none,3,building society savings agreement/ life insurance,> 25 years,bank,own,1,unskilled - resident,2,phone - none,foreign - yes,2
no checking account,6,existing credits paid back duly till now,radio/television,518,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,others - none,1,real estate,> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1
... < 0 DM,24,existing credits paid back duly till now,car (new),2303,... < 100 DM,.. >= 7 years,4,male : single,co-applicant,1,real estate,> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,2
... < 0 DM,36,existing credits paid back duly till now,furniture/equipment,2712,... < 100 DM,.. >= 7 years,2,male : single,others - none,2,building society savings agreement/ life insurance,> 25 years,bank,own,1,skilled employee / official,2,phone - none,foreign - yes,2
no checking account,24,existing credits paid back duly till now,car (new),1474,100 <= ... < 500 DM,... < 1 year,4,male : married/widowed,others - none,3,real estate,> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,18,existing credits paid back duly till now,car (new),1820,... < 100 DM,1 <= ... < 4 years,2,male : married/widowed,others - none,2,building society savings agreement/ life insurance,> 25 years,none,own,1,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,24,critical account/ other credits existing (not at this bank),education,1927,unknown/ no savings account,1 <= ... < 4 years,3,female : divorced/separated/married,others - none,2,"car or other, not in attribute 6",> 25 years,none,own,2,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
... < 0 DM,15,critical account/ other credits existing (not at this bank),furniture/equipment,1433,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,others - none,3,building society savings agreement/ life insurance,<= 25 years,none,rent,2,skilled employee / official,1,phone - none,foreign - yes,1
0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),958,... < 100 DM,4 <= ... < 7 years,2,male : single,others - none,3,real estate,> 25 years,none,own,2,unskilled - resident,2,phone - none,foreign - yes,1
no checking account,36,existing credits paid back duly till now,radio/television,3835,unknown/ no savings account,.. >= 7 years,2,female : divorced/separated/married,others - none,4,real estate,> 25 years,none,own,1,unskilled - resident,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,12,existing credits paid back duly till now,furniture/equipment,763,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,others - none,1,real estate,> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
